,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fp1Pos,fp1Laps,fp2Pos,fp2Laps
1245,23377,968,822,3,77,11,\N,R,21,0.0,6,\N,\N,4,19,1:47.837,185.413,22,3,34,4,35
1246,23378,968,825,4,20,18,\N,R,22,0.0,5,\N,\N,4,20,1:48.601,184.108,22,19,27,17,38
1247,23379,969,20,6,5,2,1,1,1,25.0,57,1:24:11.672,5051672,53,3,1:26.638,220.351,1,6,10,2,35
1248,23380,969,1,131,44,1,2,2,2,18.0,57,+9.975,5061647,44,6,1:27.033,219.351,1,1,22,1,34
1249,23381,969,822,131,77,3,3,3,3,15.0,57,+11.250,5062922,56,2,1:26.593,220.465,1,2,25,3,34
1250,23382,969,8,6,7,4,4,4,4,12.0,57,+22.393,5074065,56,1,1:26.538,220.605,1,5,16,4,30
1251,23383,969,830,9,33,5,5,5,5,10.0,57,+28.827,5080499,43,5,1:26.964,219.525,1,4,19,6,8
1252,23384,969,13,3,19,7,6,6,6,8.0,57,+1:23.386,5135058,49,9,1:28.045,216.830,1,7,28,14,6
1253,23385,969,815,10,11,10,7,7,7,6.0,56,\N,\N,56,10,1:28.336,216.115,11,10,29,11,35
1254,23386,969,832,5,55,8,8,8,8,4.0,56,\N,\N,53,8,1:27.677,217.740,11,11,24,7,34
1255,23387,969,826,5,26,9,9,9,9,2.0,56,\N,\N,51,4,1:26.711,220.165,11,12,25,10,39
1256,23388,969,839,10,31,13,10,10,10,1.0,56,\N,\N,55,11,1:28.475,215.776,11,16,23,13,37
1257,23389,969,807,4,27,11,11,11,11,0.0,56,\N,\N,55,12,1:28.486,215.749,11,9,15,9,36
1258,23390,969,841,15,36,16,12,12,12,0.0,55,\N,\N,51,13,1:29.052,214.378,12,-1,-1,-1,-1
1259,23391,969,838,1,2,18,13,13,13,0.0,55,\N,\N,53,15,1:29.440,213.448,12,20,14,17,33
1260,23392,969,4,1,14,12,\N,R,14,0.0,50,\N,\N,48,17,1:30.077,211.938,76,14,18,12,19
1261,23393,969,825,210,20,17,\N,R,15,0.0,46,\N,\N,46,7,1:27.568,218.011,22,17,20,19,8
1262,23394,969,840,3,18,20,\N,R,16,0.0,40,\N,\N,38,14,1:29.389,213.569,23,13,29,16,27
1263,23395,969,817,9,3,0,\N,R,17,0.0,25,\N,\N,21,16,1:29.447,213.431,131,3,19,5,27
1264,23396,969,828,15,9,14,\N,R,18,0.0,21,\N,\N,18,19,1:32.052,207.391,9,15,30,15,29
1265,23397,969,835,4,30,19,\N,R,19,0.0,15,\N,\N,6,20,1:32.195,207.069,23,19,6,20,4
1266,23398,969,154,210,8,6,\N,R,20,0.0,13,\N,\N,12,18,1:30.183,211.689,47,8,20,8,29
1267,23399,970,1,131,44,1,1,1,1,25.0,56,1:37:36.158,5856158,44,1,1:35.378,205.745,1,20,2,4,25
1268,23400,970,20,6,5,2,2,2,2,18.0,56,+6.250,5862408,40,2,1:35.423,205.648,1,16,2,1,20
1269,23401,970,830,9,33,16,3,3,3,15.0,56,+45.192,5901350,31,7,1:36.722,202.886,1,1,4,6,20
1270,23402,970,817,9,3,5,4,4,4,12.0,56,+46.035,5902193,36,8,1:36.791,202.741,1,8,7,7,23
1271,23403,970,8,6,7,4,5,5,5,10.0,56,+48.076,5904234,42,4,1:36.003,204.406,1,17,1,2,19
1272,23404,970,822,131,77,3,6,6,6,8.0,56,+48.808,5904966,41,3,1:35.849,204.734,1,9,4,3,26
1273,23405,970,832,5,55,11,7,7,7,6.0,56,+1:12.893,5929051,30,10,1:37.398,201.478,1,4,5,10,24
1274,23406,970,825,210,20,12,8,8,8,4.0,55,\N,\N,35,11,1:37.528,201.209,11,10,8,12,22
1275,23407,970,815,10,11,8,9,9,9,2.0,55,\N,\N,55,6,1:36.531,203.288,11,19,3,13,20
1276,23408,970,839,10,31,17,10,10,10,1.0,55,\N,\N,55,9,1:37.036,202.230,11,18,2,16,24
1277,23409,970,154,210,8,19,11,11,11,0.0,55,\N,\N,50,12,1:37.551,201.162,11,5,6,14,22
1278,23410,970,807,4,27,7,12,12,12,0.0,55,\N,\N,36,13,1:38.015,200.210,11,11,6,11,22
1279,23411,970,835,4,30,20,13,13,13,0.0,55,\N,\N,47,14,1:38.181,199.871,11,15,3,9,21
1280,23412,970,13,3,19,6,14,14,14,0.0,55,\N,\N,50,5,1:36.511,203.330,11,2,7,5,23
